frame_number,leftEAR,rightEAR,Rx,Ry,Rz
0,0.29851115706299675,0.2867441755680875,31.225213160894835,-3.788407353636625,-0.8046210091361821
1,0.29851115706299675,0.29668090586048923,33.035768605777825,-3.9003929793482786,-0.7325019285890532
2,0.29851115706299675,0.3007732496038529,32.16151723843975,-2.2170131478878203,-0.6677839142536887
3,0.30056995195306196,0.29668090586048923,30.11677820543733,-4.431616654790925,-0.4489758189035558
4,0.27363522730774703,0.30056995195306196,31.277155826202243,-4.410903246417515,0.12180244997603458
5,0.29851115706299675,0.2512225000170304,31.184136591142586,-2.912023812221708,-0.5008354820372453
6,0.2996257016633534,0.24723408821707438,32.428499098804046,-3.3642542882096085,-0.6750493687816145
7,0.24723408821707438,0.2487592975524973,31.45074353744634,-4.094803010365993,-0.11509602493403814
8,0.30812955104098516,0.28479344402135326,31.27645264417597,-4.407947617676545,0.4723181364731489
9,0.28638893798427906,0.23803617271322422,31.872523538552024,-4.180045602724088,0.1365857792123882
10,0.24723408821707438,0.2719574970387818,31.635794794475494,-1.8516271275362244,-0.13457504587342556
11,0.29851115706299675,0.2487592975524973,33.63994535809217,-4.340497478918888,-0.11801957536428295
12,0.28638893798427906,0.2719574970387818,34.20517836678235,-4.008294302242096,0.41947448245435115
13,0.30812955104098516,0.28638893798427906,32.128034424855755,-3.7528169672984997,0.26058364380799803
14,0.2744055969546628,0.29872707773217105,33.23171688948539,-3.5171062791149277,-0.17472515786827233
15,0.2744055969546628,0.29851115706299675,32.3446972545525,-4.395747843646203,0.5846142282377093
16,0.28593138470052,0.29872707773217105,33.85999757408039,-4.570482860236577,0.12981544771073927
17,0.2844272778839863,0.28479344402135326,32.85957672344952,-4.107343641036464,0.6005109048451359
18,0.29668090586048923,0.29872707773217105,32.14285436718528,-3.9992399825590703,0.35910759012763044
19,0.2719574970387818,0.23803617271322422,32.89324482225313,-3.128626071617287,0.7744083337722272
20,0.30056995195306196,0.29668090586048923,33.961961032703215,-3.568660801932718,0.5664038010907736
21,0.29872707773217105,0.27363522730774703,32.26222103535892,-4.806650130260472,0.847614626064474
22,0.282842712474619,0.2626866648272802,32.37321732228212,-3.475838945717928,0.41294503440473407
23,0.28479344402135326,0.2616063987527758,31.333922645549954,-3.172749180043324,0.8081317145573033
24,0.29668090586048923,0.28638893798427906,32.09648055810033,-3.7839623221207144,0.7682009358258962
25,0.2592724864350674,0.26072500472698745,31.173453902575723,-3.285205836531928,0.6143784715970478
26,0.29851115706299675,0.2844272778839863,30.364103996240985,-2.8379752393991238,0.6710401980689793
27,0.2844272778839863,0.26072500472698745,30.73198052994092,-4.020729662688405,1.2950259776223911
28,0.32338708681824646,0.27569402219781225,30.590880545755695,-3.8188971409708037,0.6924607428722348
29,0.30056995195306196,0.29851115706299675,28.448565421547503,-2.8098595760122733,0.6121602581163045
30,0.2844272778839863,0.28638893798427906,28.1372392550894,-3.2109552900653178,1.0156488295754755
31,0.34788476207071845,0.29851115706299675,26.61722825200695,-2.6563407493859876,1.024481757172133
32,0.3007732496038529,0.30056995195306196,24.088014200071324,-4.081047312692077,1.1982918948123926
33,0.331831824197984,0.3098140197304909,25.992809861310665,-3.211121811960774,1.177747875528696
34,0.2844272778839863,0.3254458817083117,23.000476669655185,-2.8012936569506044,1.1575721643185213
35,0.29851115706299675,0.29851115706299675,19.567456137827843,-3.188095541584975,1.2439655987791547
36,0.31405435355412825,0.27569402219781225,18.031175051391376,-1.2968277987914167,0.8801249877854928
37,0.35003089446932106,0.3245945101352995,18.655722412192706,-2.9308417685143104,1.345744262599776
38,0.33351629288748974,0.30812955104098516,18.53464028306829,-3.166496717196123,1.4864900034991988
39,0.37490682422457083,0.3245945101352995,17.323578702424058,-1.2699885714183319,1.4997551945585705
40,0.331831824197984,0.3108636467454263,15.403403193784328,-3.305940053155764,1.4520135954742255
41,0.3495633186072456,0.32338708681824646,13.51716286378162,-1.590253845098044,1.396611016466413
42,0.30056995195306196,0.3245945101352995,13.790716557354814,-1.502735925627412,1.359400399788095
43,0.37313894632874595,0.3329560459081458,12.90663202917281,-3.55353297204975,2.0390753067707332
44,0.35553409735498287,0.35842879616087575,10.669041913878623,-3.170345510926293,1.4604117322758687
45,0.3329560459081458,0.3245945101352995,9.458072095525722,-1.763362881414226,1.455376109854005
46,0.3567386206158705,0.3765564437074637,9.963551735846137,-1.955643895486232,1.6018124263937916
47,0.38052119532359524,0.35714285714285715,9.308039477183442,-0.9335421235962906,1.571823253773468
48,0.35842879616087575,0.35,8.153515087572428,-0.22388090756847595,1.6587750929372014
49,0.38052119532359524,0.38095238095238093,8.014748241503932,-3.717287903592237,1.6673996933946034
50,0.3586251844832988,0.3333333333333333,7.65045143646563,-0.04883664447224399,1.6817308956103754
51,0.35714285714285715,0.3632612873491999,6.602818138184619,-2.647084755558702,1.849357822346589
52,0.3409090909090909,0.3632612873491999,6.688798889548555,-0.5578405014780042,1.6296725431794288
53,0.3405574568898749,0.35714285714285715,5.985540394015266,-1.5036442285096616,1.4378542937554373
54,0.3409090909090909,0.3367175148507369,5.061781232166042,0.783313627883366,0.9412328130238248
55,0.34232403973405795,0.3184836554905274,5.268961212262356,0.5322948706296481,1.3319171206930036
56,0.36505131246133066,0.34217096844158384,4.127676024497875,-1.886083997975133,1.4445359152250368
57,0.36363636363636365,0.36467477671134946,4.916963157185587,-1.9179234466457762,1.7141697101423718
58,0.3409090909090909,0.3632612873491999,3.7045694158867675,-0.5646575327313471,1.5937677448238408
59,0.3859651178085249,0.36467477671134946,3.840404011190314,0.3685125736414206,1.1144638488434817
60,0.36467477671134946,0.326209402580868,3.032880135527317,3.3940973545154023,1.3880630644510044
61,0.3425242684514881,0.327131333960193,1.9757802860753664,0.74328070315651,1.2896180687294168
62,0.3704192946820336,0.3860305043809385,1.5497241803153319,5.2573774588734725,0.863040189546912
63,0.34884994609834646,0.38737860717067446,0.3571288741833691,4.09031881971761,0.621293202217237
